gene	Kinetic_class	cluster	1h	2h	4h	6h	8h	12h	18h	24h	48h
ORF57, ORF58	L	cluster_8	0	0.00148466227143943	0.000957096249037176	0.00170453772734481	0.00446583637480132	0.0200079003487414	0.0741761461689114	0.0637608852981199	0.0838846960370505
ORF62, ORF61, ORF60,ORF59	E/L	cluster_8	0.0114942528735632	0.0126232056862607	0.0165277702734157	0.0305498262639866	0.0381259038677693	0.06104428275579	0.0765915480691009	0.102522950458173	0.106120019376992
ORF63	E	cluster_5	0.00854700854700855	0.0746255421579904	0.0382201855578619	0.00915526310638819	0.0035832955295108	0.00334687795277422	0.00414115924128894	0.00540772812041734	0.0100212545609418
ORF64_1	IE	cluster_11	0.519893899204244	0.0216790340078825	0.00952762092405632	0.00455193453070431	0.00495650385244774	0.00333886454382627	0.00167318738354539	0.00131749310264473	0.00139468234725047
NOIR_1	unknown	cluster_7	0	0.00526203862150876	0.00164709778150616	0.00222014228630745	0.00280079187194087	0.00312316242594228	0.00256126749227417	0.00214570243790038	0.00387813100622206
ORF65_1	E	cluster_5	0.0486295313881521	0.159848584582316	0.108871706656881	0.0490550820792151	0.0212352710238839	0.00839829294711693	0.00348753323109057	0.00233380617980081	0.00387050075219651
ORF66_1	unknown	cluster_3	0	0.000155038759689923	0.000465537455770215	0.00243375947752068	0.00260476794631988	0.00179847852398511	0.000899910874934732	0.000558347723586327	0.000376262777145245
ORF68, ORF67_1	L	cluster_1	0.0772178013557324	0.131472055038244	0.174347679552986	0.13200299965676	0.0827636188326471	0.0444590992678297	0.0220411058684525	0.0129982833378816	0.0172779743828129
ORF69, ORF70	E/L	cluster_12	0.0972590627763041	0.0578006398642592	0.0415212679117962	0.0215407883300333	0.0207902985376795	0.0195173023520021	0.00917361072485414	0.00553955583445003	0.00512213976026137
ORF71, ORF72, ORF73	L	cluster_8	0	0.000254354039438242	0.000751456242586564	0.00424002834530873	0.00688816036459918	0.013340799689386	0.0213234753716401	0.0184799598107339	0.0171427786784186
ORF74, ORF75, ORF76, ORF67 _2	L	cluster_1	0.0371352785145889	0.0828783415958562	0.153160578980851	0.121364348246813	0.0646631007167397	0.0341672905357635	0.0205548343987702	0.0116896715956788	0.014506964737312
NOIR_2	unknown	cluster_7	0	0.00526203862150876	0.00164709778150616	0.00222014228630745	0.00279580536045445	0.00312150863404553	0.00256270022400561	0.00214570243790038	0.00387387208057865
