gene	Kinetic_class	hpi	Time	cell_line	mean	sd	varcoeff	cluster
ORF7,  ORF6,  ORF5	E/L	6h	6	RK-13	0.0243750132825782	0.000946288453121723	0.0388220692293151	cluster_1
ORF7,  ORF6,  ORF5	E/L	8h	8	RK-13	0.0146286082905863	0.000133631118878022	0.00913491674830168	cluster_1
ORF7,  ORF6,  ORF5	E/L	12h	12	RK-13	0.0121113236936567	0.000191915006459354	0.0158459150555005	cluster_1
ORF7,  ORF6,  ORF5	E/L	18h	18	RK-13	0.0106035408521889	0.000189125606598453	0.0178360803466336	cluster_1
ORF7,  ORF6,  ORF5	E/L	24h	24	RK-13	0.0128188718993363	0.000324402901760012	0.0253066653842455	cluster_1
ORF7,  ORF6,  ORF5	E/L	48h	48	RK-13	0.00985207396936524	0.000423279424188584	0.0429634841866555	cluster_1
ORF8	L	1h	1	RK-13	0	0		cluster_2
ORF8	L	2h	2	RK-13	0	0		cluster_2
ORF8	L	4h	4	RK-13	0.00103500229870348	0.000172614788085125	0.166777202622017	cluster_2
ORF8	L	6h	6	RK-13	0.0032978772118821	0.000152489272587772	0.0462386143542154	cluster_2
ORF8	L	8h	8	RK-13	0.00505209651835052	0.000342898966965525	0.0678726080786517	cluster_2
ORF8	L	12h	12	RK-13	0.00585203829049782	0.00030600061013815	0.0522895775707783	cluster_2
ORF8	L	18h	18	RK-13	0.00467769624975138	0.00026242780866966	0.0561019345118034	cluster_2
ORF8	L	24h	24	RK-13	0.00434199303629992	0.000301179314881738	0.0693643016844614	cluster_2
ORF8	L	48h	48	RK-13	0.00553091914116352	0.000351351399199871	0.0635249567445237	cluster_2
ORF9	L	1h	1	RK-13	0	0		cluster_2
ORF9	L	2h	2	RK-13	0.00333154450918566	0.000544022971091827	0.163294522883263	cluster_2
ORF9	L	4h	4	RK-13	0.00578576316495707	0.00064722725476482	0.111865494025907	cluster_2
ORF9	L	6h	6	RK-13	0.0100892307059078	0.000402540903886632	0.0398980770308801	cluster_2
ORF9	L	8h	8	RK-13	0.00820993080439076	0.000474298382813501	0.0577713008932842	cluster_2
ORF9	L	12h	12	RK-13	0.00493934341766508	0.000350122776144946	0.0708844772551684	cluster_2
ORF9	L	18h	18	RK-13	0.00339011907130019	8.07481818943376e-05	0.0238186860685601	cluster_2
ORF9	L	24h	24	RK-13	0.00307801657381593	7.59510172253597e-05	0.0246753113259557	cluster_2
ORF9	L	48h	48	RK-13	0.00433120036958143	0.000156778409502272	0.0361974501580085	cluster_2
ORF10, ORF11	L	1h	1	RK-13	0	0		unclustered
ORF10, ORF11	L	2h	2	RK-13	0.0292812345492853	0.0042977533509139	0.146775005120773	unclustered
ORF10, ORF11	L	4h	4	RK-13	0.0170461412519203	0.00115155820328897	0.0675553596717525	unclustered
ORF10, ORF11	L	6h	6	RK-13	0.0233781624156064	0.000485675478163447	0.0207747499366857	unclustered
ORF10, ORF11	L	8h	8	RK-13	0.0244415185323478	0.00118506658328866	0.048485800165004	unclustered
ORF10, ORF11	L	12h	12	RK-13	0.0199479212386209	9.60756210234196e-05	0.004816322456568	unclustered
ORF10, ORF11	L	18h	18	RK-13	0.0175647603078098	0.000257933534553529	0.0146847170148313	unclustered
ORF10, ORF11	L	24h	24	RK-13	0.0148878500402786	0.000443302081211849	0.0297760979599143	unclustered
ORF10, ORF11	L	48h	48	RK-13	0.0131778549512702	0.000458795429585262	0.0348156381506566	unclustered
ORF12, ORF13, ORF14	L	1h	1	RK-13	0	0		cluster_2
ORF12, ORF13, ORF14	L	2h	2	RK-13	0.00863324357903942	0.000782318995017679	0.0906170418864429	cluster_2
ORF12, ORF13, ORF14	L	4h	4	RK-13	0.020162692681278	0.00168384735281527	0.0835130197852397	cluster_2
ORF12, ORF13, ORF14	L	6h	6	RK-13	0.0407019809702076	0.000748488049670435	0.0183894747093096	cluster_2
ORF12, ORF13, ORF14	L	8h	8	RK-13	0.0391277976117554	0.00136885213513473	0.0349841345203514	cluster_2
ORF12, ORF13, ORF14	L	12h	12	RK-13	0.0329194931742683	0.000315591716318849	0.00958677324247305	cluster_2
ORF12, ORF13, ORF14	L	18h	18	RK-13	0.0423145970904502	0.00141127392949767	0.0333519406194742	cluster_2
ORF12, ORF13, ORF14	L	24h	24	RK-13	0.0411625341947053	0.000990617503099316	0.0240659989108916	cluster_2
ORF12, ORF13, ORF14	L	48h	48	RK-13	0.0324275961060166	0.000445896946599678	0.0137505396681855	cluster_2
ORF18, ORF17, ORF16, ORF15	L	1h	1	RK-13	0	0		cluster_4
ORF18, ORF17, ORF16, ORF15	L	2h	2	RK-13	0.000232558139534884	0.000402802513388111	1.73205080756888	cluster_4
ORF18, ORF17, ORF16, ORF15	L	4h	4	RK-13	7.47423774876237e-05	7.80102461503891e-05	1.04372176498274	cluster_4
ORF18, ORF17, ORF16, ORF15	L	6h	6	RK-13	0.000754154899391579	4.9973874150178e-05	0.0662647344603805	cluster_4
