gene	Kinetic_class	hpi	Time	cell_line	sample	seqnames	strand	norm_base	group	read_count	norm_read_count	mean	sd	varcoeff	dist_from_mean	farthest_from_mean	farthest_rep	best_label	labels
ORF10	L	12h	12	RK-13	EHV-1_12h_1	NC_001491.2	+	1	RK-13_12h	142	2.51515539008712	105.666666666667	31.5647482697603	0.298720015171233	36.3333333333333	TRUE	1	2	2
ORF10	L	12h	12	RK-13	EHV-1_12h_2	NC_001491.2	+	1	RK-13_12h	90	2.4787264789288	105.666666666667	31.5647482697603	0.298720015171233	15.6666666666667	FALSE	NA	2	2
ORF10	L	12h	12	RK-13	EHV-1_12h_3	NC_001491.2	+	1	RK-13_12h	85	2.40276454719334	105.666666666667	31.5647482697603	0.298720015171233	20.6666666666667	FALSE	NA	2	2
ORF10	L	18h	18	RK-13	EHV-1_18h_1	NC_001491.2	+	1	RK-13_18h	77	4.41443629291868	55.3333333333333	18.8237438713273	0.340188142252904	21.6666666666667	TRUE	1	2	2
ORF10	L	18h	18	RK-13	EHV-1_18h_2	NC_001491.2	+	1	RK-13_18h	46	3.90982244241677	55.3333333333333	18.8237438713273	0.340188142252904	9.33333333333334	FALSE	NA	2	2
ORF10	L	18h	18	RK-13	EHV-1_18h_3	NC_001491.2	+	1	RK-13_18h	43	4.17318063443568	55.3333333333333	18.8237438713273	0.340188142252904	12.3333333333333	FALSE	NA	2	2
ORF10	L	24h	24	RK-13	EHV-1_24h_1	NC_001491.2	+	1	RK-13_24h	137	4.913359908609	116	18.2482875908947	0.157312824059437	21	TRUE	1	2	2
ORF10	L	24h	24	RK-13	EHV-1_24h_2	NC_001491.2	+	1	RK-13_24h	107	5.19311611157147	116	18.2482875908947	0.157312824059437	9	FALSE	NA	2	2
ORF10	L	24h	24	RK-13	EHV-1_24h_3	NC_001491.2	+	1	RK-13_24h	104	5.54981574950948	116	18.2482875908947	0.157312824059437	12	FALSE	NA	2	2
ORF10	L	48h	48	RK-13	EHV-1_48h_1	NC_001491.2	+	1	RK-13_48h	293	6.07306714065776	210.666666666667	82.5005050489592	0.391616321434933	82.3333333333333	FALSE	NA	2	2
ORF10	L	48h	48	RK-13	EHV-1_48h_2	NC_001491.2	+	1	RK-13_48h	211	6.04464074082389	210.666666666667	82.5005050489592	0.391616321434933	0.333333333333343	FALSE	NA	2	2
ORF10	L	48h	48	RK-13	EHV-1_48h_3	NC_001491.2	+	1	RK-13_48h	128	5.59099380225543	210.666666666667	82.5005050489592	0.391616321434933	82.6666666666667	TRUE	3	2	2
ORF11	L	1h	1	RK-13	EHV-1_1h_1	NC_001491.2	+	1	RK-13_1h	0	-1.63673924139448	0	0		0		NA	2	2
ORF11	L	1h	1	RK-13	EHV-1_1h_2	NC_001491.2	+	1	RK-13_1h	0	-1.63673924139448	0	0		0		NA	2	2
ORF11	L	1h	1	RK-13	EHV-1_1h_3	NC_001491.2	+	1	RK-13_1h	0	-1.63673924139448	0	0		0		NA	2	2
ORF11	L	2h	2	RK-13	EHV-1_2h_1	NC_001491.2	+	1	RK-13_2h	1	-0.258275787023378	1.66666666666667	0.577350269189626	0.346410161513775	0.666666666666667	TRUE	1	2	2
ORF11	L	2h	2	RK-13	EHV-1_2h_2	NC_001491.2	+	1	RK-13_2h	2	0.583131201906632	1.66666666666667	0.577350269189626	0.346410161513775	0.333333333333333	FALSE	NA	2	2
ORF11	L	2h	2	RK-13	EHV-1_2h_3	NC_001491.2	+	1	RK-13_2h	2	0.723766528090107	1.66666666666667	0.577350269189626	0.346410161513775	0.333333333333333	FALSE	NA	2	2
