gene	Kinetic_class	hpi	Time	cell_line	mean	sd	varcoeff	cluster
ORF45, ORF46	L	18h	18	RK-13	3332.33333333333	352.00047348453	0.105631831594837	cluster_9
ORF45, ORF46	L	24h	24	RK-13	1685.66666666667	191.818490592887	0.113793844528112	cluster_9
ORF45, ORF46	L	48h	48	RK-13	2300.5	132.228968081884	0.0574783603920384	cluster_9
ORF48, ORF49, ORF50, ORF51	E/L	1h	1	RK-13	0	0		cluster_5
ORF48, ORF49, ORF50, ORF51	E/L	2h	2	RK-13	73.3333333333333	17.7857620959388	0.242533119490075	cluster_5
ORF48, ORF49, ORF50, ORF51	E/L	4h	4	RK-13	246	16	0.0650406504065041	cluster_5
ORF48, ORF49, ORF50, ORF51	E/L	6h	6	RK-13	1633.33333333333	67.4190873071813	0.0412769922288865	cluster_5
ORF48, ORF49, ORF50, ORF51	E/L	8h	8	RK-13	1752.66666666667	407.377384415646	0.232432893352404	cluster_5
ORF48, ORF49, ORF50, ORF51	E/L	12h	12	RK-13	3096	759.754565632876	0.245398761509327	cluster_5
ORF48, ORF49, ORF50, ORF51	E/L	18h	18	RK-13	3376.66666666667	466.274954649436	0.138087350833989	cluster_5
ORF48, ORF49, ORF50, ORF51	E/L	24h	24	RK-13	1523	236.074140896457	0.15500600190181	cluster_5
ORF48, ORF49, ORF50, ORF51	E/L	48h	48	RK-13	2287.5	234.052344572747	0.102317964840545	cluster_5
ORF52	L	1h	1	RK-13	0	0		cluster_7
ORF52	L	2h	2	RK-13	2	1	0.5	cluster_7
ORF52	L	4h	4	RK-13	16	2.64575131106459	0.165359456941537	cluster_7
ORF52	L	6h	6	RK-13	536.333333333333	2.88675134594813	0.00538238287000894	cluster_7
ORF52	L	8h	8	RK-13	1264.66666666667	373.925571916837	0.295671248221009	cluster_7
ORF52	L	12h	12	RK-13	4196	850.733213175553	0.202748620871199	cluster_7
ORF52	L	18h	18	RK-13	10267.3333333333	1004.15951588049	0.0978013943134037	cluster_7
ORF52	L	24h	24	RK-13	6537	808.021658125573	0.123607412899736	cluster_7
ORF52	L	48h	48	RK-13	10676	414.364573775317	0.0388127176634804	cluster_7
ORF53, ORF54	E	1h	1	RK-13	0.333333333333333	0.577350269189626	1.73205080756888	cluster_10
ORF53, ORF54	E	2h	2	RK-13	115.333333333333	10.5987420637231	0.0918966074889286	cluster_10
ORF53, ORF54	E	4h	4	RK-13	123.333333333333	16.2583311976763	0.131824307008186	cluster_10
ORF53, ORF54	E	6h	6	RK-13	231.666666666667	7.50555349946514	0.0323980726595617	cluster_10
ORF53, ORF54	E	8h	8	RK-13	572.333333333333	181.169349872801	0.31654516576494	cluster_10
ORF53, ORF54	E	12h	12	RK-13	3809.66666666667	993.838182670264	0.260872740223186	cluster_10
ORF53, ORF54	E	18h	18	RK-13	15563.3333333333	1598.53380737892	0.10271153185129	cluster_10
ORF53, ORF54	E	24h	24	RK-13	14582.6666666667	1777.56725142351	0.121895898195815	cluster_10
ORF53, ORF54	E	48h	48	RK-13	28976	2063.33758750235	0.0712085031578667	cluster_10
ORF57, ORF58	L	1h	1	RK-13	0	0		cluster_7
ORF57, ORF58	L	2h	2	RK-13	7.33333333333333	1.52752523165195	0.208298895225265	cluster_7
ORF57, ORF58	L	4h	4	RK-13	13	4.35889894354067	0.335299918733898	cluster_7
ORF57, ORF58	L	6h	6	RK-13	104	16.0934769394311	0.154744970571453	cluster_7
ORF57, ORF58	L	8h	8	RK-13	407	135.347700386819	0.332549632400046	cluster_7
ORF57, ORF58	L	12h	12	RK-13	4197.66666666667	1122.5134000685	0.267413658397958	cluster_7
ORF57, ORF58	L	18h	18	RK-13	19815.6666666667	2389.13003692418	0.120567734465533	cluster_7
ORF57, ORF58	L	24h	24	RK-13	10155.3333333333	1655.43237051029	0.163011130818975	cluster_7
ORF57, ORF58	L	48h	48	RK-13	18774	1347.74552494156	0.0717878728529647	cluster_7
ORF62, ORF61, ORF60,ORF59	E/L	1h	1	RK-13	0.333333333333333	0.577350269189626	1.73205080756888	cluster_3
ORF62, ORF61, ORF60,ORF59	E/L	2h	2	RK-13	62.6666666666667	15.1437555888007	0.241655674289373	cluster_3
ORF62, ORF61, ORF60,ORF59	E/L	4h	4	RK-13	222	28.2134719593318	0.127087711528522	cluster_3
ORF62, ORF61, ORF60,ORF59	E/L	6h	6	RK-13	1863	95.6922149393565	0.0513645812878994	cluster_3
ORF62, ORF61, ORF60,ORF59	E/L	8h	8	RK-13	3438	913.89933800173	0.265822960442621	cluster_3
