sample	ID	seqnames	strand	gene_cluster	gene	Kinetic_class	hpi	Time	cell_line	group	read_count
EHV-1_1h_3	ORF23	NC_001491.2	+	ORF23	ORF23	L	1h	1	RK-13	RK-13_1h	0
EHV-1_24h_1	ORF23	NC_001491.2	+	ORF23	ORF23	L	24h	24	RK-13	RK-13_24h	117
EHV-1_24h_2	ORF23	NC_001491.2	+	ORF23	ORF23	L	24h	24	RK-13	RK-13_24h	78
EHV-1_24h_3	ORF23	NC_001491.2	+	ORF23	ORF23	L	24h	24	RK-13	RK-13_24h	69
EHV-1_2h_1	ORF23	NC_001491.2	+	ORF23	ORF23	L	2h	2	RK-13	RK-13_2h	2
EHV-1_2h_2	ORF23	NC_001491.2	+	ORF23	ORF23	L	2h	2	RK-13	RK-13_2h	1
EHV-1_2h_3	ORF23	NC_001491.2	+	ORF23	ORF23	L	2h	2	RK-13	RK-13_2h	0
EHV-1_48h_1	ORF23	NC_001491.2	+	ORF23	ORF23	L	48h	48	RK-13	RK-13_48h	142
EHV-1_48h_2	ORF23	NC_001491.2	+	ORF23	ORF23	L	48h	48	RK-13	RK-13_48h	85
EHV-1_48h_3	ORF23	NC_001491.2	+	ORF23	ORF23	L	48h	48	RK-13	RK-13_48h	39
EHV-1_4h_1	ORF23	NC_001491.2	+	ORF23	ORF23	L	4h	4	RK-13	RK-13_4h	0
EHV-1_4h_2	ORF23	NC_001491.2	+	ORF23	ORF23	L	4h	4	RK-13	RK-13_4h	1
EHV-1_4h_3	ORF23	NC_001491.2	+	ORF23	ORF23	L	4h	4	RK-13	RK-13_4h	1
EHV-1_6h_1	ORF23	NC_001491.2	+	ORF23	ORF23	L	6h	6	RK-13	RK-13_6h	26
EHV-1_6h_2	ORF23	NC_001491.2	+	ORF23	ORF23	L	6h	6	RK-13	RK-13_6h	25
EHV-1_6h_3	ORF23	NC_001491.2	+	ORF23	ORF23	L	6h	6	RK-13	RK-13_6h	47
EHV-1_8h_1	ORF23	NC_001491.2	+	ORF23	ORF23	L	8h	8	RK-13	RK-13_8h	59
EHV-1_8h_2	ORF23	NC_001491.2	+	ORF23	ORF23	L	8h	8	RK-13	RK-13_8h	84
EHV-1_8h_3	ORF23	NC_001491.2	+	ORF23	ORF23	L	8h	8	RK-13	RK-13_8h	91
EHV-1_12h_1	ORF24	NC_001491.2	+	ORF24	ORF24	L	12h	12	RK-13	RK-13_12h	100
EHV-1_12h_2	ORF24	NC_001491.2	+	ORF24	ORF24	L	12h	12	RK-13	RK-13_12h	61
EHV-1_12h_3	ORF24	NC_001491.2	+	ORF24	ORF24	L	12h	12	RK-13	RK-13_12h	76
EHV-1_18h_1	ORF24	NC_001491.2	+	ORF24	ORF24	L	18h	18	RK-13	RK-13_18h	42
EHV-1_18h_2	ORF24	NC_001491.2	+	ORF24	ORF24	L	18h	18	RK-13	RK-13_18h	26
EHV-1_18h_3	ORF24	NC_001491.2	+	ORF24	ORF24	L	18h	18	RK-13	RK-13_18h	25
EHV-1_1h_1	ORF24	NC_001491.2	+	ORF24	ORF24	L	1h	1	RK-13	RK-13_1h	0
EHV-1_1h_2	ORF24	NC_001491.2	+	ORF24	ORF24	L	1h	1	RK-13	RK-13_1h	0
EHV-1_1h_3	ORF24	NC_001491.2	+	ORF24	ORF24	L	1h	1	RK-13	RK-13_1h	0
EHV-1_24h_1	ORF24	NC_001491.2	+	ORF24	ORF24	L	24h	24	RK-13	RK-13_24h	34
EHV-1_24h_2	ORF24	NC_001491.2	+	ORF24	ORF24	L	24h	24	RK-13	RK-13_24h	24
EHV-1_24h_3	ORF24	NC_001491.2	+	ORF24	ORF24	L	24h	24	RK-13	RK-13_24h	30
EHV-1_2h_1	ORF24	NC_001491.2	+	ORF24	ORF24	L	2h	2	RK-13	RK-13_2h	0
EHV-1_2h_2	ORF24	NC_001491.2	+	ORF24	ORF24	L	2h	2	RK-13	RK-13_2h	0
EHV-1_2h_3	ORF24	NC_001491.2	+	ORF24	ORF24	L	2h	2	RK-13	RK-13_2h	0
EHV-1_48h_1	ORF24	NC_001491.2	+	ORF24	ORF24	L	48h	48	RK-13	RK-13_48h	52
EHV-1_48h_2	ORF24	NC_001491.2	+	ORF24	ORF24	L	48h	48	RK-13	RK-13_48h	25
EHV-1_48h_3	ORF24	NC_001491.2	+	ORF24	ORF24	L	48h	48	RK-13	RK-13_48h	15
EHV-1_4h_1	ORF24	NC_001491.2	+	ORF24	ORF24	L	4h	4	RK-13	RK-13_4h	0
EHV-1_4h_2	ORF24	NC_001491.2	+	ORF24	ORF24	L	4h	4	RK-13	RK-13_4h	0
EHV-1_4h_3	ORF24	NC_001491.2	+	ORF24	ORF24	L	4h	4	RK-13	RK-13_4h	1
EHV-1_6h_1	ORF24	NC_001491.2	+	ORF24	ORF24	L	6h	6	RK-13	RK-13_6h	17
EHV-1_6h_2	ORF24	NC_001491.2	+	ORF24	ORF24	L	6h	6	RK-13	RK-13_6h	11
EHV-1_6h_3	ORF24	NC_001491.2	+	ORF24	ORF24	L	6h	6	RK-13	RK-13_6h	9
EHV-1_8h_1	ORF24	NC_001491.2	+	ORF24	ORF24	L	8h	8	RK-13	RK-13_8h	30
EHV-1_8h_2	ORF24	NC_001491.2	+	ORF24	ORF24	L	8h	8	RK-13	RK-13_8h	43
EHV-1_8h_3	ORF24	NC_001491.2	+	ORF24	ORF24	L	8h	8	RK-13	RK-13_8h	53
EHV-1_12h_1	ORF27	NC_001491.2	+	ORF27	ORF27	L	12h	12	RK-13	RK-13_12h	0
EHV-1_12h_2	ORF27	NC_001491.2	+	ORF27	ORF27	L	12h	12	RK-13	RK-13_12h	0
EHV-1_12h_3	ORF27	NC_001491.2	+	ORF27	ORF27	L	12h	12	RK-13	RK-13_12h	0
EHV-1_18h_1	ORF27	NC_001491.2	+	ORF27	ORF27	L	18h	18	RK-13	RK-13_18h	0
EHV-1_18h_2	ORF27	NC_001491.2	+	ORF27	ORF27	L	18h	18	RK-13	RK-13_18h	0
EHV-1_18h_3	ORF27	NC_001491.2	+	ORF27	ORF27	L	18h	18	RK-13	RK-13_18h	0
EHV-1_1h_1	ORF27	NC_001491.2	+	ORF27	ORF27	L	1h	1	RK-13	RK-13_1h	0
EHV-1_1h_2	ORF27	NC_001491.2	+	ORF27	ORF27	L	1h	1	RK-13	RK-13_1h	0
EHV-1_1h_3	ORF27	NC_001491.2	+	ORF27	ORF27	L	1h	1	RK-13	RK-13_1h	0
EHV-1_24h_1	ORF27	NC_001491.2	+	ORF27	ORF27	L	24h	24	RK-13	RK-13_24h	1
EHV-1_24h_2	ORF27	NC_001491.2	+	ORF27	ORF27	L	24h	24	RK-13	RK-13_24h	0
EHV-1_24h_3	ORF27	NC_001491.2	+	ORF27	ORF27	L	24h	24	RK-13	RK-13_24h	0
EHV-1_2h_1	ORF27	NC_001491.2	+	ORF27	ORF27	L	2h	2	RK-13	RK-13_2h	0
EHV-1_2h_2	ORF27	NC_001491.2	+	ORF27	ORF27	L	2h	2	RK-13	RK-13_2h	0
EHV-1_2h_3	ORF27	NC_001491.2	+	ORF27	ORF27	L	2h	2	RK-13	RK-13_2h	0
EHV-1_48h_1	ORF27	NC_001491.2	+	ORF27	ORF27	L	48h	48	RK-13	RK-13_48h	0
EHV-1_48h_2	ORF27	NC_001491.2	+	ORF27	ORF27	L	48h	48	RK-13	RK-13_48h	0
EHV-1_48h_3	ORF27	NC_001491.2	+	ORF27	ORF27	L	48h	48	RK-13	RK-13_48h	0
EHV-1_4h_1	ORF27	NC_001491.2	+	ORF27	ORF27	L	4h	4	RK-13	RK-13_4h	0
EHV-1_4h_2	ORF27	NC_001491.2	+	ORF27	ORF27	L	4h	4	RK-13	RK-13_4h	0
EHV-1_4h_3	ORF27	NC_001491.2	+	ORF27	ORF27	L	4h	4	RK-13	RK-13_4h	0
EHV-1_6h_1	ORF27	NC_001491.2	+	ORF27	ORF27	L	6h	6	RK-13	RK-13_6h	0
EHV-1_6h_2	ORF27	NC_001491.2	+	ORF27	ORF27	L	6h	6	RK-13	RK-13_6h	0
EHV-1_6h_3	ORF27	NC_001491.2	+	ORF27	ORF27	L	6h	6	RK-13	RK-13_6h	0
EHV-1_8h_1	ORF27	NC_001491.2	+	ORF27	ORF27	L	8h	8	RK-13	RK-13_8h	0
EHV-1_8h_2	ORF27	NC_001491.2	+	ORF27	ORF27	L	8h	8	RK-13	RK-13_8h	0
EHV-1_8h_3	ORF27	NC_001491.2	+	ORF27	ORF27	L	8h	8	RK-13	RK-13_8h	0
EHV-1_12h_1	ORF29	NC_001491.2	+	ORF29	ORF29	L	12h	12	RK-13	RK-13_12h	1088
EHV-1_12h_2	ORF29	NC_001491.2	+	ORF29	ORF29	L	12h	12	RK-13	RK-13_12h	756
EHV-1_12h_3	ORF29	NC_001491.2	+	ORF29	ORF29	L	12h	12	RK-13	RK-13_12h	713
EHV-1_18h_1	ORF29	NC_001491.2	+	ORF29	ORF29	L	18h	18	RK-13	RK-13_18h	295
EHV-1_18h_2	ORF29	NC_001491.2	+	ORF29	ORF29	L	18h	18	RK-13	RK-13_18h	191
EHV-1_18h_3	ORF29	NC_001491.2	+	ORF29	ORF29	L	18h	18	RK-13	RK-13_18h	188
EHV-1_1h_1	ORF29	NC_001491.2	+	ORF29	ORF29	L	1h	1	RK-13	RK-13_1h	0
EHV-1_1h_2	ORF29	NC_001491.2	+	ORF29	ORF29	L	1h	1	RK-13	RK-13_1h	0
EHV-1_1h_3	ORF29	NC_001491.2	+	ORF29	ORF29	L	1h	1	RK-13	RK-13_1h	0
EHV-1_24h_1	ORF29	NC_001491.2	+	ORF29	ORF29	L	24h	24	RK-13	RK-13_24h	324
EHV-1_24h_2	ORF29	NC_001491.2	+	ORF29	ORF29	L	24h	24	RK-13	RK-13_24h	217
EHV-1_24h_3	ORF29	NC_001491.2	+	ORF29	ORF29	L	24h	24	RK-13	RK-13_24h	217
EHV-1_2h_1	ORF29	NC_001491.2	+	ORF29	ORF29	L	2h	2	RK-13	RK-13_2h	1
EHV-1_2h_2	ORF29	NC_001491.2	+	ORF29	ORF29	L	2h	2	RK-13	RK-13_2h	2
EHV-1_2h_3	ORF29	NC_001491.2	+	ORF29	ORF29	L	2h	2	RK-13	RK-13_2h	1
EHV-1_48h_1	ORF29	NC_001491.2	+	ORF29	ORF29	L	48h	48	RK-13	RK-13_48h	177
EHV-1_48h_2	ORF29	NC_001491.2	+	ORF29	ORF29	L	48h	48	RK-13	RK-13_48h	103
EHV-1_48h_3	ORF29	NC_001491.2	+	ORF29	ORF29	L	48h	48	RK-13	RK-13_48h	136
EHV-1_4h_1	ORF29	NC_001491.2	+	ORF29	ORF29	L	4h	4	RK-13	RK-13_4h	5
EHV-1_4h_2	ORF29	NC_001491.2	+	ORF29	ORF29	L	4h	4	RK-13	RK-13_4h	9
EHV-1_4h_3	ORF29	NC_001491.2	+	ORF29	ORF29	L	4h	4	RK-13	RK-13_4h	15
EHV-1_6h_1	ORF29	NC_001491.2	+	ORF29	ORF29	L	6h	6	RK-13	RK-13_6h	204
EHV-1_6h_2	ORF29	NC_001491.2	+	ORF29	ORF29	L	6h	6	RK-13	RK-13_6h	164
EHV-1_6h_3	ORF29	NC_001491.2	+	ORF29	ORF29	L	6h	6	RK-13	RK-13_6h	212
EHV-1_8h_1	ORF29	NC_001491.2	+	ORF29	ORF29	L	8h	8	RK-13	RK-13_8h	399
EHV-1_8h_2	ORF29	NC_001491.2	+	ORF29	ORF29	L	8h	8	RK-13	RK-13_8h	576
EHV-1_8h_3	ORF29	NC_001491.2	+	ORF29	ORF29	L	8h	8	RK-13	RK-13_8h	550
EHV-1_12h_1	ORF3	NC_001491.2	+	ORF3	ORF3	L	12h	12	RK-13	RK-13_12h	343
EHV-1_12h_2	ORF3	NC_001491.2	+	ORF3	ORF3	L	12h	12	RK-13	RK-13_12h	209
EHV-1_12h_3	ORF3	NC_001491.2	+	ORF3	ORF3	L	12h	12	RK-13	RK-13_12h	210
EHV-1_18h_1	ORF3	NC_001491.2	+	ORF3	ORF3	L	18h	18	RK-13	RK-13_18h	99
EHV-1_18h_2	ORF3	NC_001491.2	+	ORF3	ORF3	L	18h	18	RK-13	RK-13_18h	56
EHV-1_18h_3	ORF3	NC_001491.2	+	ORF3	ORF3	L	18h	18	RK-13	RK-13_18h	59
EHV-1_1h_1	ORF3	NC_001491.2	+	ORF3	ORF3	L	1h	1	RK-13	RK-13_1h	0
EHV-1_1h_2	ORF3	NC_001491.2	+	ORF3	ORF3	L	1h	1	RK-13	RK-13_1h	0
EHV-1_1h_3	ORF3	NC_001491.2	+	ORF3	ORF3	L	1h	1	RK-13	RK-13_1h	0
EHV-1_24h_1	ORF3	NC_001491.2	+	ORF3	ORF3	L	24h	24	RK-13	RK-13_24h	58
EHV-1_24h_2	ORF3	NC_001491.2	+	ORF3	ORF3	L	24h	24	RK-13	RK-13_24h	58
EHV-1_24h_3	ORF3	NC_001491.2	+	ORF3	ORF3	L	24h	24	RK-13	RK-13_24h	36
EHV-1_2h_1	ORF3	NC_001491.2	+	ORF3	ORF3	L	2h	2	RK-13	RK-13_2h	0
EHV-1_2h_2	ORF3	NC_001491.2	+	ORF3	ORF3	L	2h	2	RK-13	RK-13_2h	1
EHV-1_2h_3	ORF3	NC_001491.2	+	ORF3	ORF3	L	2h	2	RK-13	RK-13_2h	0
EHV-1_48h_1	ORF3	NC_001491.2	+	ORF3	ORF3	L	48h	48	RK-13	RK-13_48h	62
EHV-1_48h_2	ORF3	NC_001491.2	+	ORF3	ORF3	L	48h	48	RK-13	RK-13_48h	38
EHV-1_48h_3	ORF3	NC_001491.2	+	ORF3	ORF3	L	48h	48	RK-13	RK-13_48h	32
EHV-1_4h_1	ORF3	NC_001491.2	+	ORF3	ORF3	L	4h	4	RK-13	RK-13_4h	3
EHV-1_4h_2	ORF3	NC_001491.2	+	ORF3	ORF3	L	4h	4	RK-13	RK-13_4h	4
EHV-1_4h_3	ORF3	NC_001491.2	+	ORF3	ORF3	L	4h	4	RK-13	RK-13_4h	12
EHV-1_6h_1	ORF3	NC_001491.2	+	ORF3	ORF3	L	6h	6	RK-13	RK-13_6h	75
EHV-1_6h_2	ORF3	NC_001491.2	+	ORF3	ORF3	L	6h	6	RK-13	RK-13_6h	55
EHV-1_6h_3	ORF3	NC_001491.2	+	ORF3	ORF3	L	6h	6	RK-13	RK-13_6h	71
EHV-1_8h_1	ORF3	NC_001491.2	+	ORF3	ORF3	L	8h	8	RK-13	RK-13_8h	113
EHV-1_8h_2	ORF3	NC_001491.2	+	ORF3	ORF3	L	8h	8	RK-13	RK-13_8h	166
EHV-1_8h_3	ORF3	NC_001491.2	+	ORF3	ORF3	L	8h	8	RK-13	RK-13_8h	154
EHV-1_12h_1	ORF31	NC_001491.2	+	ORF31	ORF31	E	12h	12	RK-13	RK-13_12h	987
EHV-1_12h_2	ORF31	NC_001491.2	+	ORF31	ORF31	E	12h	12	RK-13	RK-13_12h	590
EHV-1_12h_3	ORF31	NC_001491.2	+	ORF31	ORF31	E	12h	12	RK-13	RK-13_12h	511
EHV-1_18h_1	ORF31	NC_001491.2	+	ORF31	ORF31	E	18h	18	RK-13	RK-13_18h	78
EHV-1_18h_2	ORF31	NC_001491.2	+	ORF31	ORF31	E	18h	18	RK-13	RK-13_18h	48
EHV-1_18h_3	ORF31	NC_001491.2	+	ORF31	ORF31	E	18h	18	RK-13	RK-13_18h	27
EHV-1_1h_1	ORF31	NC_001491.2	+	ORF31	ORF31	E	1h	1	RK-13	RK-13_1h	0
EHV-1_1h_2	ORF31	NC_001491.2	+	ORF31	ORF31	E	1h	1	RK-13	RK-13_1h	0
EHV-1_1h_3	ORF31	NC_001491.2	+	ORF31	ORF31	E	1h	1	RK-13	RK-13_1h	0
EHV-1_24h_1	ORF31	NC_001491.2	+	ORF31	ORF31	E	24h	24	RK-13	RK-13_24h	177
EHV-1_24h_2	ORF31	NC_001491.2	+	ORF31	ORF31	E	24h	24	RK-13	RK-13_24h	103
EHV-1_24h_3	ORF31	NC_001491.2	+	ORF31	ORF31	E	24h	24	RK-13	RK-13_24h	108
EHV-1_2h_1	ORF31	NC_001491.2	+	ORF31	ORF31	E	2h	2	RK-13	RK-13_2h	129
EHV-1_2h_2	ORF31	NC_001491.2	+	ORF31	ORF31	E	2h	2	RK-13	RK-13_2h	102
EHV-1_2h_3	ORF31	NC_001491.2	+	ORF31	ORF31	E	2h	2	RK-13	RK-13_2h	74
EHV-1_48h_1	ORF31	NC_001491.2	+	ORF31	ORF31	E	48h	48	RK-13	RK-13_48h	122
EHV-1_48h_2	ORF31	NC_001491.2	+	ORF31	ORF31	E	48h	48	RK-13	RK-13_48h	70
EHV-1_48h_3	ORF31	NC_001491.2	+	ORF31	ORF31	E	48h	48	RK-13	RK-13_48h	79
EHV-1_4h_1	ORF31	NC_001491.2	+	ORF31	ORF31	E	4h	4	RK-13	RK-13_4h	116
EHV-1_4h_2	ORF31	NC_001491.2	+	ORF31	ORF31	E	4h	4	RK-13	RK-13_4h	179
EHV-1_4h_3	ORF31	NC_001491.2	+	ORF31	ORF31	E	4h	4	RK-13	RK-13_4h	194
EHV-1_6h_1	ORF31	NC_001491.2	+	ORF31	ORF31	E	6h	6	RK-13	RK-13_6h	81
EHV-1_6h_2	ORF31	NC_001491.2	+	ORF31	ORF31	E	6h	6	RK-13	RK-13_6h	72
EHV-1_6h_3	ORF31	NC_001491.2	+	ORF31	ORF31	E	6h	6	RK-13	RK-13_6h	96
EHV-1_8h_1	ORF31	NC_001491.2	+	ORF31	ORF31	E	8h	8	RK-13	RK-13_8h	296
EHV-1_8h_2	ORF31	NC_001491.2	+	ORF31	ORF31	E	8h	8	RK-13	RK-13_8h	370
EHV-1_8h_3	ORF31	NC_001491.2	+	ORF31	ORF31	E	8h	8	RK-13	RK-13_8h	427
EHV-1_12h_1	ORF32	NC_001491.2	+	ORF32	ORF32	E	12h	12	RK-13	RK-13_12h	6
EHV-1_12h_2	ORF32	NC_001491.2	+	ORF32	ORF32	E	12h	12	RK-13	RK-13_12h	3
EHV-1_12h_3	ORF32	NC_001491.2	+	ORF32	ORF32	E	12h	12	RK-13	RK-13_12h	6
EHV-1_18h_1	ORF32	NC_001491.2	+	ORF32	ORF32	E	18h	18	RK-13	RK-13_18h	0
EHV-1_18h_2	ORF32	NC_001491.2	+	ORF32	ORF32	E	18h	18	RK-13	RK-13_18h	0
EHV-1_18h_3	ORF32	NC_001491.2	+	ORF32	ORF32	E	18h	18	RK-13	RK-13_18h	1
EHV-1_1h_1	ORF32	NC_001491.2	+	ORF32	ORF32	E	1h	1	RK-13	RK-13_1h	0
EHV-1_1h_2	ORF32	NC_001491.2	+	ORF32	ORF32	E	1h	1	RK-13	RK-13_1h	0
EHV-1_1h_3	ORF32	NC_001491.2	+	ORF32	ORF32	E	1h	1	RK-13	RK-13_1h	0
EHV-1_24h_1	ORF32	NC_001491.2	+	ORF32	ORF32	E	24h	24	RK-13	RK-13_24h	0
EHV-1_24h_2	ORF32	NC_001491.2	+	ORF32	ORF32	E	24h	24	RK-13	RK-13_24h	2
EHV-1_24h_3	ORF32	NC_001491.2	+	ORF32	ORF32	E	24h	24	RK-13	RK-13_24h	0
EHV-1_2h_1	ORF32	NC_001491.2	+	ORF32	ORF32	E	2h	2	RK-13	RK-13_2h	0
EHV-1_2h_2	ORF32	NC_001491.2	+	ORF32	ORF32	E	2h	2	RK-13	RK-13_2h	0
EHV-1_2h_3	ORF32	NC_001491.2	+	ORF32	ORF32	E	2h	2	RK-13	RK-13_2h	0
EHV-1_48h_1	ORF32	NC_001491.2	+	ORF32	ORF32	E	48h	48	RK-13	RK-13_48h	1
EHV-1_48h_2	ORF32	NC_001491.2	+	ORF32	ORF32	E	48h	48	RK-13	RK-13_48h	0
EHV-1_48h_3	ORF32	NC_001491.2	+	ORF32	ORF32	E	48h	48	RK-13	RK-13_48h	0
EHV-1_4h_1	ORF32	NC_001491.2	+	ORF32	ORF32	E	4h	4	RK-13	RK-13_4h	0
EHV-1_4h_2	ORF32	NC_001491.2	+	ORF32	ORF32	E	4h	4	RK-13	RK-13_4h	1
EHV-1_4h_3	ORF32	NC_001491.2	+	ORF32	ORF32	E	4h	4	RK-13	RK-13_4h	0
EHV-1_6h_1	ORF32	NC_001491.2	+	ORF32	ORF32	E	6h	6	RK-13	RK-13_6h	0
EHV-1_6h_2	ORF32	NC_001491.2	+	ORF32	ORF32	E	6h	6	RK-13	RK-13_6h	0
EHV-1_6h_3	ORF32	NC_001491.2	+	ORF32	ORF32	E	6h	6	RK-13	RK-13_6h	0
EHV-1_8h_1	ORF32	NC_001491.2	+	ORF32	ORF32	E	8h	8	RK-13	RK-13_8h	2
EHV-1_8h_2	ORF32	NC_001491.2	+	ORF32	ORF32	E	8h	8	RK-13	RK-13_8h	2
EHV-1_8h_3	ORF32	NC_001491.2	+	ORF32	ORF32	E	8h	8	RK-13	RK-13_8h	9
EHV-1_12h_1	ORF33	NC_001491.2	+	ORF33	ORF33	L	12h	12	RK-13	RK-13_12h	479
EHV-1_12h_2	ORF33	NC_001491.2	+	ORF33	ORF33	L	12h	12	RK-13	RK-13_12h	236
EHV-1_12h_3	ORF33	NC_001491.2	+	ORF33	ORF33	L	12h	12	RK-13	RK-13_12h	314
EHV-1_18h_1	ORF33	NC_001491.2	+	ORF33	ORF33	L	18h	18	RK-13	RK-13_18h	69
EHV-1_18h_2	ORF33	NC_001491.2	+	ORF33	ORF33	L	18h	18	RK-13	RK-13_18h	61
EHV-1_18h_3	ORF33	NC_001491.2	+	ORF33	ORF33	L	18h	18	RK-13	RK-13_18h	28
EHV-1_1h_1	ORF33	NC_001491.2	+	ORF33	ORF33	L	1h	1	RK-13	RK-13_1h	0
EHV-1_1h_2	ORF33	NC_001491.2	+	ORF33	ORF33	L	1h	1	RK-13	RK-13_1h	0
EHV-1_1h_3	ORF33	NC_001491.2	+	ORF33	ORF33	L	1h	1	RK-13	RK-13_1h	0
EHV-1_24h_1	ORF33	NC_001491.2	+	ORF33	ORF33	L	24h	24	RK-13	RK-13_24h	309
EHV-1_24h_2	ORF33	NC_001491.2	+	ORF33	ORF33	L	24h	24	RK-13	RK-13_24h	205
EHV-1_24h_3	ORF33	NC_001491.2	+	ORF33	ORF33	L	24h	24	RK-13	RK-13_24h	195
EHV-1_2h_1	ORF33	NC_001491.2	+	ORF33	ORF33	L	2h	2	RK-13	RK-13_2h	0
EHV-1_2h_2	ORF33	NC_001491.2	+	ORF33	ORF33	L	2h	2	RK-13	RK-13_2h	1
EHV-1_2h_3	ORF33	NC_001491.2	+	ORF33	ORF33	L	2h	2	RK-13	RK-13_2h	0
EHV-1_48h_1	ORF33	NC_001491.2	+	ORF33	ORF33	L	48h	48	RK-13	RK-13_48h	250
EHV-1_48h_2	ORF33	NC_001491.2	+	ORF33	ORF33	L	48h	48	RK-13	RK-13_48h	160
EHV-1_48h_3	ORF33	NC_001491.2	+	ORF33	ORF33	L	48h	48	RK-13	RK-13_48h	114
EHV-1_4h_1	ORF33	NC_001491.2	+	ORF33	ORF33	L	4h	4	RK-13	RK-13_4h	1
EHV-1_4h_2	ORF33	NC_001491.2	+	ORF33	ORF33	L	4h	4	RK-13	RK-13_4h	6
EHV-1_4h_3	ORF33	NC_001491.2	+	ORF33	ORF33	L	4h	4	RK-13	RK-13_4h	2
EHV-1_6h_1	ORF33	NC_001491.2	+	ORF33	ORF33	L	6h	6	RK-13	RK-13_6h	2
EHV-1_6h_2	ORF33	NC_001491.2	+	ORF33	ORF33	L	6h	6	RK-13	RK-13_6h	8
EHV-1_6h_3	ORF33	NC_001491.2	+	ORF33	ORF33	L	6h	6	RK-13	RK-13_6h	5
EHV-1_8h_1	ORF33	NC_001491.2	+	ORF33	ORF33	L	8h	8	RK-13	RK-13_8h	74
EHV-1_8h_2	ORF33	NC_001491.2	+	ORF33	ORF33	L	8h	8	RK-13	RK-13_8h	84
EHV-1_8h_3	ORF33	NC_001491.2	+	ORF33	ORF33	L	8h	8	RK-13	RK-13_8h	120
EHV-1_12h_1	ORF34	NC_001491.2	+	ORF34	ORF34	unknown	12h	12	RK-13	RK-13_12h	3153
EHV-1_12h_2	ORF34	NC_001491.2	+	ORF34	ORF34	unknown	12h	12	RK-13	RK-13_12h	2030
EHV-1_12h_3	ORF34	NC_001491.2	+	ORF34	ORF34	unknown	12h	12	RK-13	RK-13_12h	2117
EHV-1_18h_1	ORF34	NC_001491.2	+	ORF34	ORF34	unknown	18h	18	RK-13	RK-13_18h	1066
EHV-1_18h_2	ORF34	NC_001491.2	+	ORF34	ORF34	unknown	18h	18	RK-13	RK-13_18h	764
EHV-1_18h_3	ORF34	NC_001491.2	+	ORF34	ORF34	unknown	18h	18	RK-13	RK-13_18h	686
EHV-1_1h_1	ORF34	NC_001491.2	+	ORF34	ORF34	unknown	1h	1	RK-13	RK-13_1h	0
EHV-1_1h_2	ORF34	NC_001491.2	+	ORF34	ORF34	unknown	1h	1	RK-13	RK-13_1h	0
EHV-1_1h_3	ORF34	NC_001491.2	+	ORF34	ORF34	unknown	1h	1	RK-13	RK-13_1h	0
EHV-1_24h_1	ORF34	NC_001491.2	+	ORF34	ORF34	unknown	24h	24	RK-13	RK-13_24h	693
EHV-1_24h_2	ORF34	NC_001491.2	+	ORF34	ORF34	unknown	24h	24	RK-13	RK-13_24h	464
EHV-1_24h_3	ORF34	NC_001491.2	+	ORF34	ORF34	unknown	24h	24	RK-13	RK-13_24h	479
EHV-1_2h_1	ORF34	NC_001491.2	+	ORF34	ORF34	unknown	2h	2	RK-13	RK-13_2h	197
EHV-1_2h_2	ORF34	NC_001491.2	+	ORF34	ORF34	unknown	2h	2	RK-13	RK-13_2h	151
EHV-1_2h_3	ORF34	NC_001491.2	+	ORF34	ORF34	unknown	2h	2	RK-13	RK-13_2h	132
EHV-1_48h_1	ORF34	NC_001491.2	+	ORF34	ORF34	unknown	48h	48	RK-13	RK-13_48h	953
EHV-1_48h_2	ORF34	NC_001491.2	+	ORF34	ORF34	unknown	48h	48	RK-13	RK-13_48h	680
EHV-1_48h_3	ORF34	NC_001491.2	+	ORF34	ORF34	unknown	48h	48	RK-13	RK-13_48h	387
EHV-1_4h_1	ORF34	NC_001491.2	+	ORF34	ORF34	unknown	4h	4	RK-13	RK-13_4h	121
EHV-1_4h_2	ORF34	NC_001491.2	+	ORF34	ORF34	unknown	4h	4	RK-13	RK-13_4h	142
EHV-1_4h_3	ORF34	NC_001491.2	+	ORF34	ORF34	unknown	4h	4	RK-13	RK-13_4h	200
EHV-1_6h_1	ORF34	NC_001491.2	+	ORF34	ORF34	unknown	6h	6	RK-13	RK-13_6h	670
EHV-1_6h_2	ORF34	NC_001491.2	+	ORF34	ORF34	unknown	6h	6	RK-13	RK-13_6h	556
EHV-1_6h_3	ORF34	NC_001491.2	+	ORF34	ORF34	unknown	6h	6	RK-13	RK-13_6h	738
EHV-1_8h_1	ORF34	NC_001491.2	+	ORF34	ORF34	unknown	8h	8	RK-13	RK-13_8h	1001
EHV-1_8h_2	ORF34	NC_001491.2	+	ORF34	ORF34	unknown	8h	8	RK-13	RK-13_8h	1416
EHV-1_8h_3	ORF34	NC_001491.2	+	ORF34	ORF34	unknown	8h	8	RK-13	RK-13_8h	1724
EHV-1_12h_1	ORF35	NC_001491.2	+	ORF35	ORF35	L	12h	12	RK-13	RK-13_12h	0
EHV-1_12h_2	ORF35	NC_001491.2	+	ORF35	ORF35	L	12h	12	RK-13	RK-13_12h	0
EHV-1_12h_3	ORF35	NC_001491.2	+	ORF35	ORF35	L	12h	12	RK-13	RK-13_12h	0
EHV-1_18h_1	ORF35	NC_001491.2	+	ORF35	ORF35	L	18h	18	RK-13	RK-13_18h	0
