Ref_Class	gene	seqnames	gene_cluster	gene_region	Kinetic_class	hpi	Time	cell_line	group	cmp_ref	strand	sample	class_code	read_count	parent	norm_base	sum_read_count	norm_read_count	mean	sd	varcoeff	Isoform_nr	Description	rep	sum_abundance	mean_abundance	min_abundance	max_abundance
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	6h	6	RK-13	RK-13_6h	CTO-L	-	EHV-1_6h_1	=	0	NA	1	133	0	0.00126262626262626	0.00309279007927169	2.44948974278318	1	NA	1	0.00757575757575758	0.00757575757575758	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	6h	6	RK-13	RK-13_6h	CTO-L	-	EHV-1_6h_2	=	0	NA	1	118	0	0.00126262626262626	0.00309279007927169	2.44948974278318	1	NA	2	0.00757575757575758	0.00757575757575758	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	6h	6	RK-13	RK-13_6h	CTO-L	-	EHV-1_6h_3	=	1	NA	1	132	0.00757575757575758	0.00126262626262626	0.00309279007927169	2.44948974278318	1	NA	3	0.00757575757575758	0.00757575757575758	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	8h	8	RK-13	RK-13_8h	CTO-L	-	EHV-1_8h_1	=	3	NA	1	367	0.00817438692098093	0.00411214889882263	0.00389021403628536	0.946029468290701	1	NA	1	0.0227644964463709	0.00817438692098093	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	8h	8	RK-13	RK-13_8h	CTO-L	-	EHV-1_8h_2	=	4	NA	1	524	0.00763358778625954	0.00411214889882263	0.00389021403628536	0.946029468290701	1	NA	2	0.0227644964463709	0.00817438692098093	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	8h	8	RK-13	RK-13_8h	CTO-L	-	EHV-1_8h_3	=	4	NA	1	575	0.00695652173913044	0.00411214889882263	0.00389021403628536	0.946029468290701	1	NA	3	0.0227644964463709	0.00817438692098093	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	12h	12	RK-13	RK-13_12h	CTO-L	-	EHV-1_12h_1	=	11	NA	1	1895	0.00580474934036939	0.00267957091704807	0.00295528765154253	1.1028958527428	1	NA	1	0.0160774255022884	0.00580474934036939	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	12h	12	RK-13	RK-13_12h	CTO-L	-	EHV-1_12h_2	=	8	NA	1	1450	0.00551724137931034	0.00267957091704807	0.00295528765154253	1.1028958527428	1	NA	2	0.0160774255022884	0.00580474934036939	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	12h	12	RK-13	RK-13_12h	CTO-L	-	EHV-1_12h_3	=	7	NA	1	1472	0.0047554347826087	0.00267957091704807	0.00295528765154253	1.1028958527428	1	NA	3	0.0160774255022884	0.00580474934036939	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	18h	18	RK-13	RK-13_18h	CTO-L	-	EHV-1_18h_1	=	3	NA	1	926	0.00323974082073434	0.00172543265180324	0.00205519562941678	1.19111900848109	1	NA	1	0.0103525959108195	0.00481927710843374	0	0.111111111111111
