gene	Kinetic_class	hpi	Time	cell_line	mean	sd	varcoeff	best_label	labels	norm.method	EndType
ORF17	L	6h	6	RK-13	0.000231664260358349	0.000141996499263585	0.612940895777095	1	1	viral_read.count	TSS
ORF17	L	8h	8	RK-13	0.000387821068031488	0.000250767009038319	0.646604915795752	1	1	viral_read.count	TSS
ORF18	L	12h	12	RK-13	0.0146981357797959	0.0010517511403412	0.0715567712870734	2	2	viral_read.count	TSS
ORF18	L	18h	18	RK-13	0.00183076489736946	0.000200455614700409	0.109492821819139	2	2	viral_read.count	TSS
ORF18	L	1h	1	RK-13	0	0		2	2	viral_read.count	TSS
ORF18	L	24h	24	RK-13	0.00194161953447748	0.00012508160476496	0.0644212743763009	2	2	viral_read.count	TSS
ORF18	L	2h	2	RK-13	0.0104533371762491	0.0043648568794598	0.417556308178518	2	2	viral_read.count	TSS
ORF18	L	48h	48	RK-13	0.00195702639243648	0.000292523150241718	0.149473278118405	2	2	viral_read.count	TSS
ORF18	L	4h	4	RK-13	0.012033401523763	0.00288908056183105	0.240088436850197	2	2	viral_read.count	TSS
ORF18	L	6h	6	RK-13	0.00701248423414246	0.000564548221256003	0.080506166203886	2	2	viral_read.count	TSS
ORF18	L	8h	8	RK-13	0.0252408848766009	0.00339903140281008	0.134663717988789	2	2	viral_read.count	TSS
ORF19	L	12h	12	RK-13	0.000764661380768306	0.000178638170351585	0.23361735644619	2	2	viral_read.count	TSS
ORF19	L	18h	18	RK-13	0.0001781881049666	7.48970120471722e-05	0.420325543398146	2	2	viral_read.count	TSS
ORF19	L	1h	1	RK-13	0	0		2	2	viral_read.count	TSS
ORF19	L	24h	24	RK-13	0.000210420738950235	4.79240335192044e-05	0.227753375253276	2	2	viral_read.count	TSS
ORF19	L	2h	2	RK-13	0	0		2	2	viral_read.count	TSS
ORF19	L	48h	48	RK-13	0.000225960555643135	2.17160745272829e-05	0.0961055988974449	2	2	viral_read.count	TSS
ORF19	L	4h	4	RK-13	0.000703841739877626	0.000465382291183911	0.661203030193727	2	2	viral_read.count	TSS
ORF19	L	6h	6	RK-13	0.000890729971245569	0.000124204746139311	0.139441525657463	2	2	viral_read.count	TSS
ORF19	L	8h	8	RK-13	0.00139605947968361	0.000370984505761661	0.265736890985287	2	2	viral_read.count	TSS
ORF2	unknown	12h	12	RK-13	0.0044109464371024	0.000321112563821371	0.0727990168097153	2	2	viral_read.count	TSS
ORF2	unknown	18h	18	RK-13	0.000965716398777882	9.58621648112058e-05	0.099265338077017	2	2	viral_read.count	TSS
ORF2	unknown	1h	1	RK-13	0	0		2	2	viral_read.count	TSS
ORF2	unknown	24h	24	RK-13	0.000695002294810192	0.000135517825644205	0.194989033354509	2	2	viral_read.count	TSS
ORF2	unknown	2h	2	RK-13	0	0		2	2	viral_read.count	TSS
ORF2	unknown	48h	48	RK-13	0.00182441159225503	0.000866821407717318	0.475123821508884	2	2	viral_read.count	TSS
ORF2	unknown	4h	4	RK-13	0.000231817690795576	0.000204366629501068	0.881583406338411	2	2	viral_read.count	TSS
ORF2	unknown	6h	6	RK-13	0.00176490070072637	0.000197728881014189	0.112033997682029	2	2	viral_read.count	TSS
ORF2	unknown	8h	8	RK-13	0.00565898099548004	0.000438065005876128	0.0774105808494535	2	2	viral_read.count	TSS
ORF20	E	12h	12	RK-13	0.00854059178553304	0.000232783652726271	0.0272561502260985	1	1	viral_read.count	TSS
ORF20	E	18h	18	RK-13	0.0020246068968914	0.000235205181390842	0.116173258992636	1	1	viral_read.count	TSS
ORF20	E	1h	1	RK-13	0	0		1	1	viral_read.count	TSS
ORF20	E	24h	24	RK-13	0.00199873167434132	0.00015446547114385	0.0772817447818521	1	1	viral_read.count	TSS
ORF20	E	2h	2	RK-13	0.0271613035780619	0.00331618296397392	0.122092187307696	1	1	viral_read.count	TSS
ORF20	E	48h	48	RK-13	0.00218361688831971	5.47785720273493e-05	0.0250861642994075	1	1	viral_read.count	TSS
ORF20	E	4h	4	RK-13	0.0190728015284555	0.00186640153448686	0.0978567061426345	1	1	viral_read.count	TSS
ORF20	E	6h	6	RK-13	0.0102250859038902	0.00049976943154796	0.0488767953878823	1	1	viral_read.count	TSS
ORF20	E	8h	8	RK-13	0.0156336290397969	0.00133137360959376	0.0851608801900455	1	1	viral_read.count	TSS
ORF21	E	12h	12	RK-13	0.00318378394424898	0.000278884617069025	0.0875953337137678	1	1	viral_read.count	TSS
ORF21	E	18h	18	RK-13	0.000301774454464459	0.000133666056817601	0.442933637490323	1	1	viral_read.count	TSS
ORF21	E	1h	1	RK-13	0	0		1	1	viral_read.count	TSS
ORF21	E	24h	24	RK-13	0.000649830522978654	9.69099038449517e-05	0.149131043276856	1	1	viral_read.count	TSS
