gene	Kinetic_class	hpi	Time	cell_line	seqnames	strand	norm_base	sample	group	read_count	mean	sd	varcoeff	dist_from_mean	farthest_from_mean	farthest_rep	cluster	rep	rep_gene	norm.method	EndType
ORF3	L	18h	18	RK-13	NC_001491.2	+	64048	EHV-1_18h_1	RK-13_18h	0.00159255558331252	0.00155245034391774	5.10546053851546e-05	0.0328864659569814	4.010523939478e-05	FALSE		cluster_2	1	ORF3::1	viral_read.count	TSS
ORF3	L	18h	18	RK-13	NC_001491.2	+	42810	EHV-1_18h_2	RK-13_18h	0.00149497780892315	0.00155245034391774	5.10546053851546e-05	0.0328864659569814	5.74725349945871e-05	TRUE	2	cluster_2	2	ORF3::2	viral_read.count	TSS
ORF3	L	18h	18	RK-13	NC_001491.2	+	38221	EHV-1_18h_3	RK-13_18h	0.00156981763951754	0.00155245034391774	5.10546053851546e-05	0.0328864659569814	1.73672955998069e-05	FALSE		cluster_2	3	ORF3::3	viral_read.count	TSS
ORF3	L	24h	24	RK-13	NC_001491.2	+	52104	EHV-1_24h_1	RK-13_24h	0.00124750499001996	0.00136280308105377	0.000238111268054225	0.174721697774641	0.000115298091033807	FALSE		cluster_2	1	ORF3::1	viral_read.count	TSS
ORF3	L	24h	24	RK-13	NC_001491.2	+	36050	EHV-1_24h_2	RK-13_24h	0.00163661581137309	0.00136280308105377	0.000238111268054225	0.174721697774641	0.000273812730319326	TRUE	2	cluster_2	2	ORF3::2	viral_read.count	TSS
ORF3	L	24h	24	RK-13	NC_001491.2	+	34045	EHV-1_24h_3	RK-13_24h	0.00120428844176825	0.00136280308105377	0.000238111268054225	0.174721697774641	0.000158514639285519	FALSE		cluster_2	3	ORF3::3	viral_read.count	TSS
ORF3	L	48h	48	RK-13	NC_001491.2	+	75252	EHV-1_48h_1	RK-13_48h	0.000903630468293201	0.000857306747788494	6.55116337973383e-05	0.0764156283224551	1.47788884742305e-05	FALSE		cluster_2	1	ORF3::1	viral_read.count	TSS
ORF3	L	48h	48	RK-13	NC_001491.2	+	51789	EHV-1_48h_2	RK-13_48h	0.000810983027283786	0.000857306747788494	6.55116337973383e-05	0.0764156283224551	0.000107426329483646	FALSE		cluster_2	2	ORF3::2	viral_read.count	TSS
ORF4	unknown	1h	1	RK-13	NC_001491.2	-	10	EHV-1_1h_1	RK-13_1h	0	0	0		0			cluster_1	1	ORF4::1	viral_read.count	TSS
ORF4	unknown	1h	1	RK-13	NC_001491.2	-	14	EHV-1_1h_2	RK-13_1h	0	0	0		0			cluster_1	2	ORF4::2	viral_read.count	TSS
ORF4	unknown	1h	1	RK-13	NC_001491.2	-	8	EHV-1_1h_3	RK-13_1h	0	0	0		0			cluster_1	3	ORF4::3	viral_read.count	TSS
ORF4	unknown	2h	2	RK-13	NC_001491.2	-	2197	EHV-1_2h_1	RK-13_2h	0.00182066454255803	0.00320298674404053	0.0015139512775653	0.472668605445262	0.0013823222014825	FALSE		cluster_1	1	ORF4::1	viral_read.count	TSS
ORF4	unknown	2h	2	RK-13	NC_001491.2	-	1685	EHV-1_2h_2	RK-13_2h	0.0029673590504451	0.00320298674404053	0.0015139512775653	0.472668605445262	0.000235627693595428	FALSE		cluster_1	2	ORF4::2	viral_read.count	TSS
ORF4	unknown	2h	2	RK-13	NC_001491.2	-	1452	EHV-1_2h_3	RK-13_2h	0.00482093663911846	0.00320298674404053	0.0015139512775653	0.472668605445262	0.00161794989507793	TRUE	3	cluster_1	3	ORF4::3	viral_read.count	TSS
ORF4	unknown	4h	4	RK-13	NC_001491.2	-	2051	EHV-1_4h_1	RK-13_4h	0.00341296928327645	0.00340486689046924	0.000313283324452113	0.0920104469660894	8.10239280721325e-06	FALSE		cluster_1	1	ORF4::1	viral_read.count	TSS
ORF4	unknown	4h	4	RK-13	NC_001491.2	-	2591	EHV-1_4h_2	RK-13_4h	0.00308761096101891	0.00340486689046924	0.000313283324452113	0.0920104469660894	0.000317255929450326	TRUE	2	cluster_1	2	ORF4::2	viral_read.count	TSS
ORF4	unknown	4h	4	RK-13	NC_001491.2	-	3231	EHV-1_4h_3	RK-13_4h	0.00371402042711235	0.00340486689046924	0.000313283324452113	0.0920104469660894	0.000309153536643112	FALSE		cluster_1	3	ORF4::3	viral_read.count	TSS
ORF4	unknown	6h	6	RK-13	NC_001491.2	-	14162	EHV-1_6h_1	RK-13_6h	0.00303629430871346	0.00262875365071349	0.000459119860043131	0.17465305656105	0.000407540657999967	FALSE		cluster_1	1	ORF4::1	viral_read.count	TSS
ORF4	unknown	6h	6	RK-13	NC_001491.2	-	13242	EHV-1_6h_2	RK-13_6h	0.00271862256456729	0.00262875365071349	0.000459119860043131	0.17465305656105	8.98689138537942e-05	FALSE		cluster_1	2	ORF4::2	viral_read.count	TSS
ORF4	unknown	6h	6	RK-13	NC_001491.2	-	15014	EHV-1_6h_3	RK-13_6h	0.00213134407885973	0.00262875365071349	0.000459119860043131	0.17465305656105	0.000497409571853761	TRUE	3	cluster_1	3	ORF4::3	viral_read.count	TSS
ORF4	unknown	8h	8	RK-13	NC_001491.2	-	15660	EHV-1_8h_1	RK-13_8h	0.00191570881226054	0.00187665437657085	9.67911025644762e-05	0.051576413735458	3.90544356896863e-05	FALSE		cluster_1	1	ORF4::1	viral_read.count	TSS
ORF4	unknown	8h	8	RK-13	NC_001491.2	-	22076	EHV-1_8h_2	RK-13_8h	0.00194781663344809	0.00187665437657085	9.67911025644762e-05	0.051576413735458	7.11622568772385e-05	FALSE		cluster_1	2	ORF4::2	viral_read.count	TSS
ORF4	unknown	8h	8	RK-13	NC_001491.2	-	25475	EHV-1_8h_3	RK-13_8h	0.00176643768400393	0.00187665437657085	9.67911025644762e-05	0.051576413735458	0.000110216692566925	TRUE	3	cluster_1	3	ORF4::3	viral_read.count	TSS
ORF4	unknown	12h	12	RK-13	NC_001491.2	-	73125	EHV-1_12h_1	RK-13_12h	0.00077948717948718	0.000948275687080371	0.000189379936937557	0.199709788532737	0.000168788507593191	FALSE		cluster_1	1	ORF4::1	viral_read.count	TSS
ORF4	unknown	12h	12	RK-13	NC_001491.2	-	50424	EHV-1_12h_2	RK-13_12h	0.000912264001269237	0.000948275687080371	0.000189379936937557	0.199709788532737	3.6011685811134e-05	FALSE		cluster_1	2	ORF4::2	viral_read.count	TSS
ORF4	unknown	12h	12	RK-13	NC_001491.2	-	49433	EHV-1_12h_3	RK-13_12h	0.0011530758804847	0.000948275687080371	0.000189379936937557	0.199709788532737	0.000204800193404325	TRUE	3	cluster_1	3	ORF4::3	viral_read.count	TSS
ORF4	unknown	18h	18	RK-13	NC_001491.2	-	64048	EHV-1_18h_1	RK-13_18h	0.000171746190357232	0.000114557728463602	5.00872250513205e-05	0.437222575229698	5.71884618936301e-05	TRUE	1	cluster_1	1	ORF4::1	viral_read.count	TSS
ORF4	unknown	18h	18	RK-13	NC_001491.2	-	42810	EHV-1_18h_2	RK-13_18h	9.34361130576968e-05	0.000114557728463602	5.00872250513205e-05	0.437222575229698	2.11216154059052e-05	FALSE		cluster_1	2	ORF4::2	viral_read.count	TSS
ORF4	unknown	18h	18	RK-13	NC_001491.2	-	38221	EHV-1_18h_3	RK-13_18h	7.84908819758771e-05	0.000114557728463602	5.00872250513205e-05	0.437222575229698	3.60668464877249e-05	FALSE		cluster_1	3	ORF4::3	viral_read.count	TSS
ORF4	unknown	24h	24	RK-13	NC_001491.2	-	52104	EHV-1_24h_1	RK-13_24h	0.000115154306771073	0.00016294455752037	6.34879569692478e-05	0.389629196184176	4.77902507492965e-05	FALSE		cluster_1	1	ORF4::1	viral_read.count	TSS
ORF4	unknown	24h	24	RK-13	NC_001491.2	-	36050	EHV-1_24h_2	RK-13_24h	0.00013869625520111	0.00016294455752037	6.34879569692478e-05	0.389629196184176	2.42483023192602e-05	FALSE		cluster_1	2	ORF4::2	viral_read.count	TSS
ORF4	unknown	24h	24	RK-13	NC_001491.2	-	34045	EHV-1_24h_3	RK-13_24h	0.000234983110588926	0.00016294455752037	6.34879569692478e-05	0.389629196184176	7.20385530685567e-05	TRUE	3	cluster_1	3	ORF4::3	viral_read.count	TSS
ORF4	unknown	48h	48	RK-13	NC_001491.2	-	75252	EHV-1_48h_1	RK-13_48h	0.000172752883644289	0.000173267480459693	7.27749795498682e-07	0.00420015223611438	6.2307116356057e-06	FALSE		cluster_1	1	ORF4::1	viral_read.count	TSS
ORF4	unknown	48h	48	RK-13	NC_001491.2	-	51789	EHV-1_48h_2	RK-13_48h	0.000173782077275097	0.000173267480459693	7.27749795498682e-07	0.00420015223611438	7.25990526641418e-06	FALSE		cluster_1	2	ORF4::2	viral_read.count	TSS
ORF5	E	1h	1	RK-13	NC_001491.2	-	10	EHV-1_1h_1	RK-13_1h	0	0	0		0			cluster_1	1	ORF5::1	viral_read.count	TSS
ORF5	E	1h	1	RK-13	NC_001491.2	-	14	EHV-1_1h_2	RK-13_1h	0	0	0		0			cluster_1	2	ORF5::2	viral_read.count	TSS
ORF5	E	1h	1	RK-13	NC_001491.2	-	8	EHV-1_1h_3	RK-13_1h	0	0	0		0			cluster_1	3	ORF5::3	viral_read.count	TSS
ORF5	E	2h	2	RK-13	NC_001491.2	-	2197	EHV-1_2h_1	RK-13_2h	0.0810195721438325	0.0905927504882305	0.00977138720742631	0.107860586578567	0.009573178344398	FALSE		cluster_1	1	ORF5::1	viral_read.count	TSS
ORF5	E	2h	2	RK-13	NC_001491.2	-	1685	EHV-1_2h_2	RK-13_2h	0.0902077151335311	0.0905927504882305	0.00977138720742631	0.107860586578567	0.000385035354699345	FALSE		cluster_1	2	ORF5::2	viral_read.count	TSS
ORF5	E	2h	2	RK-13	NC_001491.2	-	1452	EHV-1_2h_3	RK-13_2h	0.100550964187328	0.0905927504882305	0.00977138720742631	0.107860586578567	0.00995821369909733	TRUE	3	cluster_1	3	ORF5::3	viral_read.count	TSS
ORF5	E	4h	4	RK-13	NC_001491.2	-	2051	EHV-1_4h_1	RK-13_4h	0.0667966845441248	0.0671971018325709	0.00565573211856125	0.0841663102175618	0.000400417288446031	FALSE		cluster_1	1	ORF5::1	viral_read.count	TSS
ORF5	E	4h	4	RK-13	NC_001491.2	-	2591	EHV-1_4h_2	RK-13_4h	0.0617522192203782	0.0671971018325709	0.00565573211856125	0.0841663102175618	0.00544488261219263	FALSE		cluster_1	2	ORF5::2	viral_read.count	TSS
