gene	Kinetic_class	hpi	Time	cell_line	seqnames	strand	norm_base	sample	group	read_count	mean	sd	varcoeff	dist_from_mean	farthest_from_mean	farthest_rep	best_label	labels	rep	rep_gene
ORF19	L	48h	48	RK-13	NC_001491.2	+	27302	EHV-1_48h_3	RK-13_48h	0.00018313676653725	0.000238598323489825	4.87475871055723e-05	0.204308171124476	5.54615569525755e-05	TRUE	3	2	2	3	ORF19::3
ORF2	unknown	1h	1	RK-13	NC_001491.2	-	7	EHV-1_1h_1	RK-13_1h	0	0	0		0		NA	2	2	1	ORF2::1
ORF2	unknown	1h	1	RK-13	NC_001491.2	-	10	EHV-1_1h_2	RK-13_1h	0	0	0		0		NA	2	2	2	ORF2::2
ORF2	unknown	1h	1	RK-13	NC_001491.2	-	3	EHV-1_1h_3	RK-13_1h	0	0	0		0		NA	2	2	3	ORF2::3
ORF2	unknown	2h	2	RK-13	NC_001491.2	-	1972	EHV-1_2h_1	RK-13_2h	0	0	0		0		NA	2	2	1	ORF2::1
ORF2	unknown	2h	2	RK-13	NC_001491.2	-	1523	EHV-1_2h_2	RK-13_2h	0	0	0		0		NA	2	2	2	ORF2::2
ORF2	unknown	2h	2	RK-13	NC_001491.2	-	1321	EHV-1_2h_3	RK-13_2h	0	0	0		0		NA	2	2	3	ORF2::3
ORF2	unknown	4h	4	RK-13	NC_001491.2	-	1840	EHV-1_4h_1	RK-13_4h	0	0.000262938626645975	0.00023225856205073	0.883318533352829	0.000262938626645975	TRUE	1	2	2	1	ORF2::1
ORF2	unknown	4h	4	RK-13	NC_001491.2	-	2272	EHV-1_4h_2	RK-13_4h	0.000440140845070423	0.000262938626645975	0.00023225856205073	0.883318533352829	0.000177202218424447	FALSE	NA	2	2	2	ORF2::2
ORF2	unknown	4h	4	RK-13	NC_001491.2	-	2868	EHV-1_4h_3	RK-13_4h	0.000348675034867504	0.000262938626645975	0.00023225856205073	0.883318533352829	8.57364082215281e-05	FALSE	NA	2	2	3	ORF2::3
ORF2	unknown	6h	6	RK-13	NC_001491.2	-	12998	EHV-1_6h_1	RK-13_6h	0.00200030773965225	0.0017413951791258	0.000231573230892766	0.132981435614757	0.000258912560526453	TRUE	1	2	2	1	ORF2::1
ORF2	unknown	6h	6	RK-13	NC_001491.2	-	12226	EHV-1_6h_2	RK-13_6h	0.0015540651071487	0.0017413951791258	0.000231573230892766	0.132981435614757	0.000187330071977101	FALSE	NA	2	2	2	ORF2::2
ORF2	unknown	6h	6	RK-13	NC_001491.2	-	13774	EHV-1_6h_3	RK-13_6h	0.00166981269057645	0.0017413951791258	0.000231573230892766	0.132981435614757	7.15824885493522e-05	FALSE	NA	2	2	3	ORF2::3
ORF2	unknown	8h	8	RK-13	NC_001491.2	-	13636	EHV-1_8h_1	RK-13_8h	0.00594015840422411	0.00593495754051348	0.000604777958604969	0.101900974771362	5.20086371063721e-06	FALSE	NA	2	2	1	ORF2::1
ORF2	unknown	8h	8	RK-13	NC_001491.2	-	19521	EHV-1_8h_2	RK-13_8h	0.00532759592234004	0.00593495754051348	0.000604777958604969	0.101900974771362	0.000607361618173432	TRUE	2	2	2	2	ORF2::2
ORF2	unknown	8h	8	RK-13	NC_001491.2	-	22334	EHV-1_8h_3	RK-13_8h	0.00653711829497627	0.00593495754051348	0.000604777958604969	0.101900974771362	0.000602160754462794	FALSE	NA	2	2	3	ORF2::3
ORF2	unknown	12h	12	RK-13	NC_001491.2	-	64872	EHV-1_12h_1	RK-13_12h	0.00454741645085707	0.00465441945275135	0.000318502239812505	0.0684300680344204	0.000107003001894279	FALSE	NA	2	2	1	ORF2::1
ORF2	unknown	12h	12	RK-13	NC_001491.2	-	44286	EHV-1_12h_2	RK-13_12h	0.00440319739872646	0.00465441945275135	0.000318502239812505	0.0684300680344204	0.000251222054024891	FALSE	NA	2	2	2	ORF2::2
