gene	Kinetic_class	cluster	1h	2h	4h	6h	8h	12h	18h	24h	48h
ORF55	L	cluster_3	0	0.000169033130493577	0.00124082833060457	0.000798358850805379	0.000999132096854936	0.000354258327983248	5.1080344966481e-05	3.44887049491292e-05	1.95065699943945e-05
ORF56	L	cluster_3	0	0.000169033130493577	0.000509032455603184	4.98451549425806e-05	0.000159816786952418	0.000187585783879997	6.10679564219063e-06	9.30818483476408e-05	5.51382710054786e-05
ORF57	L	cluster_5	0	0	0	2.42001839213978e-05	6.61518114827554e-05	6.33247644556426e-05	5.77100110154534e-05	0.000225410152002414	0.000250203970949424
ORF58	L	cluster_5	0	0	0	0.000745275037654333	0.00298038926589183	0.00498718153525617	0.00310943558883428	0.00320337194298217	0.00440977324958572
ORF59	L	cluster_5	0	0	0.000146713615023474	0.000181483210261408	0.000201337511222315	0.000139314685744786	0.000150251929848025	0.00010025471586455	0.000201828577899355
ORF60	L	cluster_5	0	0.000218866272707376	0	0.000157283026340011	0.0016331244605308	0.0201696403458607	0.00949841274959791	0.0249013583784708	0.0206628645309644
ORF61	E	cluster_3	0	0.0136366385778801	0.016476776135966	0.00272788909861397	0.00551651418178589	0.00390769582240071	0.000516933074232504	0.00109651317686778	0.000718879274495991
ORF62	L	cluster_5	0	0	0.000262938626645975	0.000769649763580178	0.00604006932055099	0.0113373398725396	0.0029826708573553	0.0134119711392393	0.00961983349262272
ORF63	E	cluster_1	0	0.0818451904318806	0.037632025350006	0.00301969975447238	0.00260068399973223	0.000977807232335476	0.000134709134745169	0.000151069890114535	0.000141227116491401
ORF64_1	IE	cluster_3	0	0.000757002271006813	0.00116873572809525	2.72643001254158e-05	0.000577714760147248	0.000308953986381294	0	0	0
NOIR_1	unknown	cluster_3	0	0.000169033130493577	0.000327873035313329	0.000125335280906344	4.15207242698976e-05	7.3239767198836e-05	7.09980847013759e-05	6.69812715403237e-05	0.000125101985474712
ORF65_1	E	cluster_4	0.0952380952380952	0.143098897827564	0.115131119321593	0.0231139039716293	0.0199602704155729	0.00752244085152933	0.000424342881962037	0.000339302209127561	0.000374006268871201
ORF66_1	unknown	cluster_2	0	0.000252334090335604	0.000116225011622501	0.00139956482632036	0.0022476305463469	0.00117314087057004	0.000196745816954765	0.000182362600171726	4.70757054971338e-05
ORF67_1	L	cluster_4	0.128571428571429	0.112799169942066	0.038629204633741	0.016934944303849	0.0457868458472347	0.0218808178352376	0.00354915952932245	0.00300854610726372	0.00723589096385779
ORF68	L	cluster_2	0	0	0	0.000101309638989394	0.0011129967840725	0.00159716960130251	0.000149729059441243	0.000275444448519367	0.000160733686485796
ORF69	E	cluster_6	0.0333333333333333	0.0461814187966363	0.0308890352199507	0.00422185237413555	0.00533949179209654	0.00213474066172407	0.000161391038730865	0.000297743928803128	0.000211190830960635
ORF70	L	cluster_6	0.114285714285714	0.00749909750971197	0.00144456195056458	0.00106710136413143	0.00659689106609307	0.0100360226146878	0.00179639019505174	0.00187805109229849	0.00172724010012093
ORF71	unknown	cluster_5	0	0	0	0	7.35212798402167e-05	0.00153210091830113	0.00091561105143443	0.00355888192517808	0.0019139787943658
ORF72	L	cluster_5	0	0	0	2.72643001254158e-05	0.000415449249716614	0.00277645571089832	0.00134694914272489	0.00441561852155117	0.00386333610625231
ORF73	L	cluster_2	0	0.000169033130493577	0.000116225011622501	0.000976603402858322	0.00310581278991417	0.00301651238455293	0.000908895160621524	0.00105935074796929	0.00118833664191439
ORF74	L	cluster_2	0	0.00144950011756669	0.000642102264914452	0.000377799713827713	0.00220992185334694	0.00281076079575486	0.00041817860314389	0.000818901871250735	0.000548783334948916
ORF75	unknown	cluster_1	0.111111111111111	0.041133430687762	0.0306842856097635	0.0243984457942784	0.023743089263925	0.0121214096237942	0.00299685655446551	0.00166552315464376	0.00213791331736541
ORF76	L	cluster_2	0	0	0	0.000199380619770322	0.00027596214929282	0.000246715855255551	1.83203869265719e-05	2.25580870742161e-05	2.28880089720995e-05
NOIR_2	unknown	cluster_1	0	0.00766643659785311	0.00252107565856807	0.00260093448860339	0.00249117672931736	0.00180233852430285	0.000756686247348201	0.000866940029409753	0.00152852852100854
