gene	Kinetic_class	hpi	Time	cell_line	seqnames	strand	norm_base	sample	group	read_count	mean	sd	varcoeff	dist_from_mean	farthest_from_mean	farthest_rep	cluster
ORF3	L	8h	8	RK-13	NC_001491.2	+	13636	EHV-1_8h_1	RK-13_8h	0.00836022293927838	0.00793680970101945	0.000907196094266608	0.114302361835648	0.000423413238258934	FALSE	NA	cluster_2
ORF3	L	8h	8	RK-13	NC_001491.2	+	19521	EHV-1_8h_2	RK-13_8h	0.00855488960606526	0.00793680970101945	0.000907196094266608	0.114302361835648	0.000618079905045817	FALSE	NA	cluster_2
ORF3	L	8h	8	RK-13	NC_001491.2	+	22334	EHV-1_8h_3	RK-13_8h	0.0068953165577147	0.00793680970101945	0.000907196094266608	0.114302361835648	0.00104149314330475	TRUE	3	cluster_2
ORF3	L	12h	12	RK-13	NC_001491.2	+	64872	EHV-1_12h_1	RK-13_12h	0.00534899494388951	0.00496677702166695	0.000331206605557314	0.066684412066913	0.000382217922222552	TRUE	1	cluster_2
ORF3	L	12h	12	RK-13	NC_001491.2	+	44286	EHV-1_12h_2	RK-13_12h	0.00478706588989749	0.00496677702166695	0.000331206605557314	0.066684412066913	0.000179711131769469	FALSE	NA	cluster_2
ORF3	L	12h	12	RK-13	NC_001491.2	+	44288	EHV-1_12h_3	RK-13_12h	0.00476427023121387	0.00496677702166695	0.000331206605557314	0.066684412066913	0.000202506790453081	FALSE	NA	cluster_2
ORF3	L	18h	18	RK-13	NC_001491.2	+	54584	EHV-1_18h_1	RK-13_18h	0.00181371830573062	0.00169963065871446	0.000179624374115523	0.105684357477632	0.000114087647016153	FALSE	NA	cluster_2
ORF3	L	18h	18	RK-13	NC_001491.2	+	37519	EHV-1_18h_2	RK-13_18h	0.00149257709427224	0.00169963065871446	0.000179624374115523	0.105684357477632	0.000207053564442229	TRUE	2	cluster_2
ORF3	L	18h	18	RK-13	NC_001491.2	+	33471	EHV-1_18h_3	RK-13_18h	0.00179259657614054	0.00169963065871446	0.000179624374115523	0.105684357477632	9.29659174260756e-05	FALSE	NA	cluster_2
ORF3	L	24h	24	RK-13	NC_001491.2	+	44330	EHV-1_24h_1	RK-13_24h	0.00135348522445297	0.00149801315635754	0.000319713877413331	0.213425280049426	0.00014452793190457	FALSE	NA	cluster_2
ORF3	L	24h	24	RK-13	NC_001491.2	+	31108	EHV-1_24h_2	RK-13_24h	0.00186447216150186	0.00149801315635754	0.000319713877413331	0.213425280049426	0.000366459005144328	TRUE	2	cluster_2
ORF3	L	24h	24	RK-13	NC_001491.2	+	28995	EHV-1_24h_3	RK-13_24h	0.00127608208311778	0.00149801315635754	0.000319713877413331	0.213425280049426	0.000221931073239758	FALSE	NA	cluster_2
ORF3	L	48h	48	RK-13	NC_001491.2	+	62015	EHV-1_48h_1	RK-13_48h	0.00101588325405144	0.00094281379749561	0.000103335816456485	0.109603631948297	3.35104622510118e-06	FALSE	NA	cluster_2
ORF3	L	48h	48	RK-13	NC_001491.2	+	43691	EHV-1_48h_2	RK-13_48h	0.000869744340939782	0.00094281379749561	0.000103335816456485	0.109603631948297	0.000149489959336759	FALSE	NA	cluster_2
ORF4	unknown	1h	1	RK-13	NC_001491.2	-	7	EHV-1_1h_1	RK-13_1h	0	0	0		0		NA	cluster_1
ORF4	unknown	1h	1	RK-13	NC_001491.2	-	10	EHV-1_1h_2	RK-13_1h	0	0	0		0		NA	cluster_1
ORF4	unknown	1h	1	RK-13	NC_001491.2	-	3	EHV-1_1h_3	RK-13_1h	0	0	0		0		NA	cluster_1
ORF4	unknown	2h	2	RK-13	NC_001491.2	-	1972	EHV-1_2h_1	RK-13_2h	0.00202839756592292	0.00328446842752481	0.00125680867862723	0.382652080956178	0.00125607086160189	FALSE	NA	cluster_1
ORF4	unknown	2h	2	RK-13	NC_001491.2	-	1523	EHV-1_2h_2	RK-13_2h	0.00328299409061064	0.00328446842752481	0.00125680867862723	0.382652080956178	1.47433691417495e-06	FALSE	NA	cluster_1
ORF4	unknown	2h	2	RK-13	NC_001491.2	-	1321	EHV-1_2h_3	RK-13_2h	0.00454201362604088	0.00328446842752481	0.00125680867862723	0.382652080956178	0.00125754519851607	TRUE	3	cluster_1
ORF4	unknown	4h	4	RK-13	NC_001491.2	-	1840	EHV-1_4h_1	RK-13_4h	0.00380434782608696	0.00383652500168679	0.000332656047174604	0.0867076448161673	3.21771755998363e-05	FALSE	NA	cluster_1
ORF4	unknown	4h	4	RK-13	NC_001491.2	-	2272	EHV-1_4h_2	RK-13_4h	0.00352112676056338	0.00383652500168679	0.000332656047174604	0.0867076448161673	0.000315398241123413	FALSE	NA	cluster_1
ORF4	unknown	4h	4	RK-13	NC_001491.2	-	2868	EHV-1_4h_3	RK-13_4h	0.00418410041841004	0.00383652500168679	0.000332656047174604	0.0867076448161673	0.000347575416723249	TRUE	3	cluster_1
ORF4	unknown	6h	6	RK-13	NC_001491.2	-	12998	EHV-1_6h_1	RK-13_6h	0.00307739652254193	0.00246374027795407	0.000533931029084648	0.216715631051838	0.000613656244587858	TRUE	1	cluster_1
ORF4	unknown	6h	6	RK-13	NC_001491.2	-	12226	EHV-1_6h_2	RK-13_6h	0.00220840831015868	0.00246374027795407	0.000533931029084648	0.216715631051838	0.000255331967795394	FALSE	NA	cluster_1
ORF4	unknown	6h	6	RK-13	NC_001491.2	-	13774	EHV-1_6h_3	RK-13_6h	0.00210541600116161	0.00246374027795407	0.000533931029084648	0.216715631051838	0.000358324276792463	FALSE	NA	cluster_1
ORF4	unknown	8h	8	RK-13	NC_001491.2	-	13636	EHV-1_8h_1	RK-13_8h	0.00198005280140804	0.00198911600680865	0.000158076495432512	0.079470727142823	9.06320540061201e-06	FALSE	NA	cluster_1
ORF4	unknown	8h	8	RK-13	NC_001491.2	-	19521	EHV-1_8h_2	RK-13_8h	0.00215152912248348	0.00198911600680865	0.000158076495432512	0.079470727142823	0.00016241311567483	TRUE	2	cluster_1
ORF4	unknown	8h	8	RK-13	NC_001491.2	-	22334	EHV-1_8h_3	RK-13_8h	0.00183576609653443	0.00198911600680865	0.000158076495432512	0.079470727142823	0.000153349910274218	FALSE	NA	cluster_1
ORF4	unknown	12h	12	RK-13	NC_001491.2	-	64872	EHV-1_12h_1	RK-13_12h	0.000816993464052288	0.000972308963578585	0.000183055816947447	0.188269185829276	0.000155315499526297	FALSE	NA	cluster_1
ORF4	unknown	12h	12	RK-13	NC_001491.2	-	44286	EHV-1_12h_2	RK-13_12h	0.000925800478706589	0.000972308963578585	0.000183055816947447	0.188269185829276	4.65084848719961e-05	FALSE	NA	cluster_1
ORF4	unknown	12h	12	RK-13	NC_001491.2	-	44288	EHV-1_12h_3	RK-13_12h	0.00117413294797688	0.000972308963578585	0.000183055816947447	0.188269185829276	0.000201823984398294	TRUE	3	cluster_1
